Year,Approving State Agency,Training Agency Site Name,Operational Status,Certificate Type,Methodology,Language,Number of Training Classes,Enrolled Student Count,Approved Student Count,Certified Student Count,Withdrawn Student Count,Street Address,City,State,Zip Code,County Name,County Code,Region
2019,Department of Health,Community Health Aide Services,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,"25 Market St, 4th Floor",Poughkeepsie,NY,12601,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                               
2019,Department of Health,VISITING NURSES SERVICE SIGNATURE CARE,OPEN,Home Health Aide,Competency Evaluation,English,4,8,8,8,0,65 COLLEGE AVENUE,ROCHESTER,NY,14607,Monroe,55,Western  - Rochester                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,UNLIMITED CARE INC MIDDLETOWN,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,643 RTE 211 EAST,MIDDLETOWN,NY,10941,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                              
2019,Department of Health,Caregivers,OPEN,Home Health Aide,Nurse Aide Transition,English,2,3,3,3,0,4205 Long Branch Road,Liverpool,NY,13090,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                                            
2019,Department of Health,Allen Health Care Services- Spanish Forest Hills,OPEN,Home Health Aide,Core Training,Spanish; Castilian,2,39,15,15,4,"69-40 108 Street,Unit PR#1",Forest Hills,NY,11375,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                      
2019,Department of Health,Caregivers,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,5297 Parkside Drive,Canandaigua,NY,14424,Ontario,69,Western  - Rochester                                                                                                                                                                                                                                                                                                                                         
2019,Department of Health,"Unlimited Care, Inc. - Hauppauge",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,"1373 Veterans Highway, #42",Hauppauge,NY,11788,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                            
2019,Department of Health,PERSONAL TOUCH HOME CARE INC BRONX,OPEN,Home Health Aide,Core Training,English,1,15,22,36,147,"509 WILLIS AVE, 5TH FLOOR",BRONX,NY,10455,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                       
2019,Department of Health,"ElderChoice, Inc.",OPEN,Personal Care Aide,Basic Training,English,2,13,13,13,0,1 Oxford Crossing,New Hartford,NY,13413,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                                        
2019,Education Department - BPSS,Efficient Care Training Center,OPEN,Home Health Aide,Personal Care Aide Upgrade,Spanish; Castilian,4,7,12,12,0,54 06 Myrtle Avenue,Ridgewood,NY,11385,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                 
2019,Department of Health,"Willcare, Inc.- Cheektowaga",OPEN,Personal Care Aide,Basic Training,English,4,16,22,22,0,2910 William Street,Cheektowaga,NY,14227,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                             
2019,Department of Health,Caregivers,OPEN,Personal Care Aide,Basic Training,English,1,4,0,0,3,19 Hodskin Street,Canton,NY,13617,Saint Lawrence,89,Central New York                                                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,PSC Community Services,OPEN,Home Health Aide,Core Training,English,2,22,20,20,2,"51-02 21 st Street, 2nd Floor",Long Island City,NY,11101,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                  
2019,Education Department - BPSS,INTERNATIONAL DEVELOPMENT INSTITUTE,OPEN,Home Health Aide,Core Training,Spanish; Castilian,1,13,13,7,0,157 WILLIAM STREET,NEW YORK,NY,10038,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                         
2019,Department of Health,Community Health Aide Services,OPEN,Personal Care Aide,Basic Training,English,4,58,43,43,15,"121 Broadway, Suite 10",Monticello,NY,12701,Sullivan,105,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                   
2019,Department of Health,South Shore Home Health Services,OPEN,Home Health Aide,Nurse Aide Transition,English,3,4,4,4,0,"393 Jericho Turnpike, Suite 206",Mineola,NY,11501,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                              
2019,Department of Health,"BESTCARE, INC BROOKLYN",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,0,0,14,14,1,1784 FLATBUSH AVENUE,BROOKLYN,NY,11212,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          
2019,Department of Health,"Any-Time Home Care, Inc. - Middletown",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,3,2,2,1,9 1/2 Dolson Avenue,Middletown,NY,10940,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                
2019,Department of Health,PARTNERS IN CARE,OPEN,Home Health Aide,Core Training,English,11,173,91,91,47,220 East 42nd Street,New York,NY,10017,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,NEW YORK HEALTH CARE - BRONX,OPEN,Home Health Aide,Nurse Aide Transition,English,0,0,1,1,0,"369 East 149th Street,2 floor",BRONX,NY,10455,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                      
2019,Department of Health,Classen Home Health Associates,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,"222 Elmira Road, Suite 3",Ithaca,NY,14850,Tompkins,109,Central New York                                                                                                                                                                                                                                                                                                    
2019,Department of Health,PEOPLE CARE INC - JAMAICA,OPEN,Home Health Aide,Core Training,English,1,16,0,0,2,8900 SUTPHIN BOULEVARD SUITE 201,JAMAICA,NY,11435,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                           
2019,Department of Health,"PREMIER HOME HEALTH CARE SERVICES, INC",OPEN,Home Health Aide,Nurse Aide Transition,English,0,0,0,0,2,"3075 VETERANS MEMORIAL HWY, Ste 180",RONKONKOMA,NY,11779,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                             
2019,Education Department - BPSS,CLINTON INSTITUTE,OPEN,Personal Care Aide,Basic Training,English,4,8,8,8,0,1712 KINGS HIGHWAY,BROOKLYN,NY,11229,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,INDEPENDENT HEALTH CARE SERVICES,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,1050 WEST GENESSEE STREET,SYRACUSE,NY,13204,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,"Unlimited Care, Inc. - Hudson",OPEN,Personal Care Aide,Basic Training,English,2,11,11,11,0,160 fairview Avenue,Hudson,NY,12534,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                            
2019,Education Department - BPSS,Phoenix Nurse Aide Training Center,OPEN,Home Health Aide,Core Training,Spanish; Castilian,4,57,56,56,0,"540 East 180th Street,2nd Floor Suite 201",Bronx,NY,10475,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                       
2019,Department of Health,PARTNERS IN CARE - NEW YORK,OPEN,Home Health Aide,Core Training,English,8,137,110,116,72,55 EXCHANGE PLACE - LOWER LEVEL,NEW YORK,NY,10005,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                 
2019,Department of Health,ALL METRO HEALTH CARE MOUNT VERNON,OPEN,Home Health Aide,Core Training,English,0,0,0,6,0,4 WEST PROSPECT AVE.,MOUNT VERNON,NY,10550,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                     
2019,Department of Health,GRACE CHURCH COMMUNITY CENTER-NEIGHBORS PROGRAM,OPEN,Home Health Aide,Core Training,English,0,0,0,0,1,148 HAMILTON AVENUE,WHITE PLAINS,NY,10605,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                         
2019,Education Department - BPSS,"Amazing Grace CNA Training & Staffing, LLC",OPEN,Home Health Aide,Core Training,English,4,50,78,78,0,"212-47 Jamaica Avenue, 2nd Floor",Queens,NY,11428,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                              
2019,Department of Health,"US Care Systems, Inc. - Lowville",OPEN,Personal Care Aide,Basic Training,English,1,3,3,3,0,7518 State Street,Lowville,NY,13367,Lewis,49,Central New York                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,Little VAlley HHATP,OPEN,Home Health Aide,Core Training,English,1,1,1,1,0,211 Erie Street,Little Valley,NY,14755,Cattaraugus,9,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                         
2019,Education Department - BPSS,Cudley's Training Program,OPEN,Home Health Aide,Nurse Aide Transition,English,3,3,3,3,0,"391 East 149th Street,Suite 521",New York,NY,10455,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                             
2019,Education Department - BPSS,"New York Institute of Health Careers, LLC",OPEN,Home Health Aide,Core Training,English,7,125,142,142,0,"89-44 162nd Street, Ground Floor",Jamaica,NY,11432,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                           
2019,Department of Health,"Franciscan Health Support, Inc.",OPEN,Home Health Aide,Competency Evaluation,English,3,4,3,3,1,7246 Janus Park Drive,Liverpool,NY,13088,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,Heart to Heart Home Care,OPEN,Personal Care Aide,Basic Training,Spanish; Castilian,2,49,46,46,3,395 Pearl Street,Brooklyn,NY,11201,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Access Home Care, Inc.",OPEN,Home Health Aide,Core Training,English,4,28,27,27,2,"3100 Veterans Memorial Hwy, Suite C",Bohemia,NY,11716,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                     
2019,Department of Health,"North Road LHCSA, Inc.",OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,241 North Rd.,Poughkeepsie,NY,12601,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,Attentive Care - Albany,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,8,13,12,12,1,5 Computer Drive West,Albany,NY,12205,Albany,1,Capital District                                                                                                                                                                                                                                                                                                                 
2019,Education Department - BPSS,HOME HEALTH CONSULTING AGENCY,OPEN,Home Health Aide,Core Training,English,7,42,27,27,18,"162-04 Jamaica Avenue, 3rd Floor",Jamaica,NY,11432,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                           
2019,Department of Health,"ACCENT HEALTH CARE SERVICE, INC TROY",OPEN,Home Health Aide,Core Training,English,1,6,4,4,1,"505 4TH AVE,LANSINGBURGH BOYS & GIRLS CLUB",TROY,NY,12182,Rensselaer,83,Capital District                                                                                                                                                                                                                                                                                                    
2019,Education Department - BPSS,Love and Care Health Career Center,OPEN,Home Health Aide,Personal Care Aide Upgrade,Spanish; Castilian,5,9,9,9,0,"5432-40 Myrtle Avenue,Suite 201-202",Ridgewood,NY,11385,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                             
2019,Education Department - BPSS,BEACON HEALTHCARE SCHOOL,OPEN,Personal Care Aide,Basic Training,English,1,1,1,1,0,"1815 AVENUE M, 2ND FLOOR",BROOKLYN,NY,11230,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                         
2019,Education Department - BPSS,"Gotham Career Institute Center for Workforce Training & Microenterprise, LLC",OPEN,Personal Care Aide,Basic Training,English,1,3,4,4,0,"260 South Wellwood Avenue,",Lindenhurst,NY,11757,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                             
2019,Department of Health,PEOPLE CARE INC - NEW YORK,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,116 WEST 32ND STREET 16TH FLR.,NEW YORK,NY,10001,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                  
2019,Department of Health,Allen Health Care Services - Hempstead,OPEN,Home Health Aide,Core Training,English,3,51,33,33,14,"175 Fulton Ave.,Suite 101",Hempstead,NY,11550,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                
2019,Department of Health,Self-Direct Inc.,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,6,19,16,16,0,615 W. Genesee St.,Syracuse,NY,13204,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                      
2019,Department of Health,INDEPENDENT NURSING CARE,OPEN,Home Health Aide,Core Training,English,0,0,0,0,1,1038 DAVIS ROAD PO BOX 489,WEST FALLS,NY,14170,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,Valley Residential Services,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,161 Valley Drive,Herkimer,NY,13350,Herkimer,43,Central New York                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,SUNNYSIDE CITYWIDE HOME CARE SERVICES INC,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,43-31 39TH ST,SUNNYSIDE,NY,11104,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                     
2019,Department of Health,Newark,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,800 West Miller Street,Newark,NY,14513,Ontario,69,Western  - Rochester                                                                                                                                                                                                                                                                                                                                               
2019,Department of Health,"South Shore Home Health Services, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,1225-2 Montauk Highway,Oakdale,NY,11769,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                              
2019,Department of Health,Olean HHATP,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,2,3,0,0,1,1225 West State St.,Olean,NY,14760,Cattaraugus,9,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,"U.S. Care Systems, Inc. -  Utica",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,4,12,12,12,0,2614 Genesee Street,Utica,NY,13502,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                        
2019,Department of Health,"Aides at Home, Inc. - Staten Island",OPEN,Personal Care Aide,Basic Training,English,1,10,9,9,1,"37 New Dorp Plaza,Suite 202",Staten Island,NY,10306,Richmond,85,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                       
2019,Education Department - BPSS,Fordham Institute,OPEN,Home Health Aide,Core Training,English,10,233,206,206,2,98 27 Jamaica Avenue,Woodhaven,NY,11421,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                
2019,Department of Health,"Unlimited Care, Inc. - Middletown",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,2,2,2,0,643 Route 211 East,Middletown,NY,10941,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                     
2019,Department of Health,Top Quality Home Care Agency LLC,OPEN,Personal Care Aide,Basic Training,English,0,0,0,1,0,123 6th avenue,Gloversville,NY,12078,Fulton,35,Capital District                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,"Classen Home Health Associattes, Inc.",OPEN,Home Health Aide,Competency Evaluation,English,1,1,0,0,1,"222 Elmira Road,Suite 3",Ithaca,NY,14850,Tompkins,109,Central New York                                                                                                                                                                                                                                                                                                             
2019,Education Department - BPSS,Bulkan's Educational Institute,OPEN,Home Health Aide,Core Training,English,9,185,171,170,1,"1467 Nostrand Avenue, 2nd Floor",Brooklyn,NY,11226,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                         
2019,Department of Health,Utopia Home Care Inc,OPEN,Home Health Aide,Nurse Aide Transition,English,3,3,3,3,0,120 Deer Park Avenue,Babylon,NY,11702,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,AAYHC PCAT,OPEN,Personal Care Aide,Basic Training,English,2,26,26,26,0,497 State Street,Rochester,NY,14608,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,"Tri-Borough Home Care, Ltd",OPEN,Home Health Aide,Core Training,English,2,15,14,14,1,883 Flatbush Ave,Brooklyn,NY,11226,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                   
2019,Education Department - BPSS,Kareful and Karefree Training School,OPEN,Home Health Aide,Core Training,English,5,65,114,114,1,2440 Fulton Street,Brooklyn,NY,11223,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                   
2019,Department of Health,"South Shore Home Health services, inc.",OPEN,Home Health Aide,Nurse Aide Transition,English,2,2,2,2,0,1225 Montauk Hwy,Oakdale,NY,11769,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                     
2019,Department of Health,"Venture Forthe, Inc.",OPEN,Personal Care Aide,Basic Training,English,53,361,299,304,8,3900 Packard Road,Niagara Falls,NY,14303,Niagara,63,Western  - Buffalo                                                                                                                                                                                                                                                                                                                             
2019,Department of Health,"Any-Time Home Care, Inc. - Kingston",OPEN,Personal Care Aide,Basic Training,English,1,8,4,4,4,635 Broadway,Kingston,NY,12401,Ulster,111,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                
2019,Education Department - BPSS,Home Health Aide Training Institute,OPEN,Home Health Aide,Core Training,English,5,48,51,51,2,321 Post Avenue,Westbury,NY,11590,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                          
2019,Department of Health,Visiting Nurses Home Care,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,5,5,5,5,0,150 Broadway  Suite 310,Menands,NY,12204,Albany,1,Capital District                                                                                                                                                                                                                                                                                                               
2019,Department of Health,United Helpers Home Health Services,OPEN,Home Health Aide,Nurse Aide Transition,English,3,5,5,5,0,91 Main Street,Canton,NY,13617,Saint Lawrence,89,Central New York                                                                                                                                                                                                                                                                                                                       
2019,Education Department - BPSS,JMB Home Health Aide Training School,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,9,24,24,24,0,"19 31 Mott Avenue,Suite 401",Far Rockaway,NY,11691,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                        
2019,Education Department - BPSS,JMB Home Health Aide Training School,OPEN,Home Health Aide,Nurse Aide Transition,English,10,21,21,21,0,"19 31 Mott Avenue,Suite 401",Far Rockaway,NY,11691,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                            
2019,Department of Health,"Unlimited Care, Inc - Long Island City",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,3,8,5,5,0,33-10 Queens Blvd #303,Long Island City,NY,11101,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                     
2019,Department of Health,INDEPENDENT HEALTH CARE SERVICES,OPEN,Home Health Aide,Core Training,English,1,4,3,3,1,1050 WEST GENESSEE STREET,SYRACUSE,NY,13204,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                           
2019,Department of Health,I & Y SENIOR CARE,OPEN,Home Health Aide,Core Training,English,1,6,6,15,0,1991 FLATBUSH AVE,BROOKLYN,NY,11234,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,SCHOFIELD HOME HEALTH CARE SERVICES INC,OPEN,Home Health Aide,Competency Evaluation,English,0,0,0,0,1,2757 ELMWOOD AVENUE,KENMORE,NY,14217,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,PREMIER HOME HEALTH CARE SERVICES NEW YORK,OPEN,Home Health Aide,Core Training,English,0,0,0,0,1,42 BROADWAY 21ST FLOOR,NEW YORK,NY,10004,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                  
2019,Department of Health,Mercy Home Care of WNY,OPEN,Home Health Aide,Core Training,English,3,17,9,9,8,"144 Genesee St,",Buffalo,NY,14203,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                               
2019,Department of Health,Aftercare Nursing Services,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,2043 Military Road,Niagara Falls,NY,14304,Niagara,63,Western  - Buffalo                                                                                                                                                                                                                                                                                                         
2019,Department of Health,HEART TO HEART HOME CARE,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,8,25,24,24,1,"2488 GRAND CONCOURSE,SUITE 409",BRONX,NY,10458,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                     
2019,Department of Health,woodhaven adult home,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,4,5,1,1,0,1350 route 12,port jefferson ,NY,11776,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                 
2019,Department of Health,ATTENTIVE CARE OF ALBANY INC,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,5 COMPUTER DRIVE WEST,ALBANY,NY,12205,Albany,1,Capital District                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,Aftercare Nursing Services,OPEN,Personal Care Aide,Basic Training,English,2,3,3,3,0,2043 Military Road,Niagara Falls,NY,14304,Niagara,63,Western  - Buffalo                                                                                                                                                                                                                                                                                                                               
2019,Department of Health,SUNNYSIDE CITYWIDE HOME CARE SERVICES INC,OPEN,Home Health Aide,Competency Evaluation,English,3,16,15,15,1,43-31 39TH ST,SUNNYSIDE,NY,11104,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                  
2019,Department of Health,GREATER ADIRONDACK HOME AIDES INC - QUEENSBURY,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,25 WILLOWBROOK ROAD,QUEENSBURY,NY,12804,Warren,113,Capital District                                                                                                                                                                                                                                                                                                          
2019,Department of Health,All Metro Health Care - Schenectady,OPEN,Personal Care Aide,Basic Training,English,6,42,35,35,7,"650 Franklin Street,Suite 102",Schenectady,NY,12305,Schenectady,93,Capital District                                                                                                                                                                                                                                                                                                      
2019,Education Department - BPSS,"Igbans Institute of Vocational Training, Inc.",OPEN,Home Health Aide,Core Training,English,5,92,130,130,0,"1870 Grand Concourse, 2nd Floor",Bronx,NY,10457,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                             
2019,Department of Health,Family Home Care Services ,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,2,2,2,0,310 Pennsylvania Ave.,Elmira,NY,14904,Chemung,15,Western  - Rochester                                                                                                                                                                                                                                                                                                           
2019,Department of Health,Golden Care,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,32 PineTree Drive,Poughkeepsie,NY,12603,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                          
